Article Title,Cited,Impact Factor,altmetric_score,DOI,retracted,severity_category
Photosynthesis and Cell Growth Trigger Degradation of Phycobilisomes during Nitrogen Limitation,2.0,3.9,8.149999999999999,10.1093/pcp/pcab159,no,good
How important is woody tissue photosynthesis in poplar during drought stress?,72.0,2.1,0.25,10.1007/s00468-014-1132-9,no,good
Halophyte Nitraria billardieri CIPK25 promotes photosynthesis in Arabidopsis under salt stress,3.0,4.1,1.75,10.3389/fpls.2022.1052463,no,good
Photosynthesis in reproductive structures: costs and benefits,39.0,5.6,0.5,10.1093/jxb/erv009,no,good
Oxygenic photosynthesis: translation to solar fuel technologies,15.0,1.1,0.5,10.5586/asbp.2014.037,no,good
Decoupling between ecosystem photosynthesis and transpiration: a last resort against overheating,25.0,5.8,20.2,10.1088/1748-9326/ac583e,no,good
Constructing the bundle sheath towards enhanced photosynthesis,1.0,5.6,4.2,10.1093/jxb/erz537,no,good
RESISTANCE OF PHOTOSYNTHESIS TO HYDROGEN-PEROXIDE IN ALGAE,137.0,3.9,3.0,10.1093/oxfordjournals.pcp.a078852,no,good
Review on optofluidic microreactors for artificial photosynthesis,32.0,2.6,1.0,10.3762/bjnano.9.5,no,good
Temperature responses of photosynthesis and respiration in evergreen trees from boreal to tropical latitudes,61.0,8.3,21.35,10.1111/nph.17951,no,good
Preparation of N-doped carbon dots and application to enhanced photosynthesis,1.0,4.3,0.25,10.1016/j.saa.2023.122763,no,good
Vertical patterns of photosynthesis and related leaf traits in two contrasting agricultural crops,11.0,2.6,0.25,10.1071/FP18061,no,good
Genetic and Physiological Dissection of Photosynthesis in Barley Exposed to Drought Stress,29.0,4.9,0.5,10.3390/ijms20246341,no,good
GmFtsH25 overexpression increases soybean seed yield by enhancing photosynthesis and photosynthates,9.0,9.3,4.25,10.1111/jipb.13405,no,good
Direct and indirect climate change effects on photosynthesis and transpiration,139.0,4.2,4.0,10.1055/s-2004-820883,no,good
Simulating daily field crop canopy photosynthesis: an integrated software package,53.0,2.6,14.28,10.1071/FP17225,no,good
Development of a portable leaf photosynthesis and volatile organic compounds emission system,3.0,1.6,1.0,10.1016/j.mex.2020.100880,no,good
ZmHOX32 is related to photosynthesis and likely functions in plant architecture of maize,1.0,4.1,1.5,10.3389/fpls.2023.1119678,no,good
Evaluating Cumulative Drought Effect on Global Vegetation Photosynthesis Using Numerous GPP Products,7.0,3.3,0.25,10.3389/fenvs.2022.908875,no,good
Strategies for improving C4 photosynthesis,94.0,8.3,3.6,10.1016/j.pbi.2016.04.003,no,good
Treatment with salicylic acid decreases the effects of paraquat on photosynthesis,93.0,4,3.0,10.1078/0176-1617-0706,no,good
From proto-Kranz to C4 Kranz: building the bridge to C4 photosynthesis,120.0,5.6,3.75,10.1093/jxb/eru180,no,good
"Global change effects on crop photosynthesis and production in Mediterranean: the case of Crete, Greece",90.0,6,3.0,10.1016/j.agee.2004.10.004,no,good
Limitations to photosynthesis in bryophytes: certainties and uncertainties regarding methodology,5.0,5.6,5.3,10.1093/jxb/erac189,no,good
Transcriptome analysis uncovering regulatory networks and hub genes of Populus photosynthesis and chlorophyll content,9.0,3.4,1.0,10.1016/j.ygeno.2022.110385,no,good
Estimating C4 photosynthesis parameters by fitting intensive A/Ci curves,21.0,2.9,2.35,10.1007/s11120-019-00619-8,no,good
A canopy conductance and photosynthesis model for use in a GCM land surface scheme,271.0,5.9,3.0,10.1016/S0022-1694(98)00203-0,no,good
Singlet oxygen production in photosynthesis,618.0,5.6,6.0,10.1093/jxb/erh237,no,good
The response of LncRNAs associated with photosynthesis-and pigment synthesis-related genes to green light in Chlamydomonas reinhardtii,1.0,2.9,0.25,10.1007/s11120-023-01062-6,no,good
Oxidation of P700 Ensures Robust Photosynthesis,77.0,4.1,1.0,10.3389/fpls.2018.01617,no,good
Variation in Responses of Photosynthesis and Apparent Rubisco Kinetics to Temperature in Three Soybean Cultivars,2.0,4,1.0,10.3390/plants8110443,no,good
Crassulacean acid metabolism photosynthesis: 'working the night shift',84.0,2.9,1.0,10.1023/A:1024978220193,no,good
BnWRI1 coordinates fatty acid biosynthesis and photosynthesis pathways during oil accumulation in rapeseed,69.0,9.3,3.25,10.1111/jipb.12158,no,good
Connecting Photosynthesis and Cellular Respiration: Preservice Teachers' Conceptions,71.0,3.6,1.0,10.1002/tea.20287,no,good
Near- Infrared- Light- Driven Artificial Photosynthesis by Nanobiocatalytic Assemblies,24.0,3.9,0.5,10.1002/chem.201400136,no,good
Faster induction of photosynthesis increases biomass and grain yield in glasshouse-grown transgenic Sorghum bicolor overexpressing Rieske FeS,1.0,10.1,10.1,10.1111/pbi.14030,no,good
A low CO2-responsive mutant of Setaria viridis reveals that reduced carbonic anhydrase limits C4 photosynthesis,13.0,5.6,3.25,10.1093/jxb/erab039,no,good
"Speedy stomata, photosynthesis and plant water use efficiency",293.0,8.3,39.35,10.1111/nph.15330,no,good
"PHYTOPLANKTON PHOTOSYNTHESIS AND GROWTH IN CONTRASTING REGIONS OF MANUKAU HARBOR, NEW-ZEALAND",18.0,1.4,3.0,10.1080/00288330.1993.9516570,no,good
Low temperature effects on grapevine photosynthesis: the role of inorganic phosphate,47.0,2.6,3.0,10.1071/FP04037,no,good
Consequences of interplant trait variation for canopy light absorption and photosynthesis,1.0,4.1,0.5,10.3389/fpls.2023.1012718,no,good
Effects of Acetogenins fromAnnona coriaceaon thein VitroReactions of Photosynthesis,3.0,2.3,0.5,10.1002/cbdv.202000484,no,good
Reconstructing the Origin of Oxygenic Photosynthesis: Do Assembly and Photoactivation Recapitulate Evolution?,38.0,4.1,7.1,10.3389/fpls.2016.00257,no,good
Characterization of backcross introgression lines derived from Oryza nivara accessions for photosynthesis and yield,5.0,3.4,1.0,10.1007/s12298-018-0575-7,no,good
High and dry:: Variation in net photosynthesis of the intertidal seaweed Fucus gardneri,68.0,4.4,3.0,10.1890/04-1569,no,good
Response of photosynthesis of Sphagnum species from contrasting microhabitats to tissue water content and repeated desiccation,192.0,8.3,0.5,10.1046/j.1469-8137.1998.00311.x,no,good
Modeling the onset of photosynthesis after the Chicxulub asteroid impact,3.0,1.8,453.87,10.1007/s10509-012-1256-6,no,good
Semiconductor/Covalent-Organic-Framework Z-Scheme Heterojunctions for Artificial Photosynthesis,324.0,16.1,19.25,10.1002/anie.202000929,no,good
A new principle photosynthesis capacity biosensor based on quantitative measurement of delayed fluorescence in vivo,50.0,10.7,3.0,10.1016/j.bios.2006.12.007,no,good
Photometric screens identified Arabidopsis peroxisome proteins that impact photosynthesis under dynamic light conditions,18.0,6.2,2.75,10.1111/tpj.14134,no,good
Elevated CO2 increases photosynthesis in fluctuating irradiance regardless of photosynthetic induction state,37.0,5.6,2.75,10.1093/jxb/erx357,no,good
Nitrogen Can Alleviate the Inhibition of Photosynthesis Caused by High Temperature Stress under Both Steady-State and Flecked Irradiance,26.0,4.1,2.7,10.3389/fpls.2017.00945,no,good
"Enhancing the light reactions of photosynthesis: Strategies, controversies, and perspectives",36.0,17.1,8.6,10.1016/j.molp.2022.08.005,no,good
Towards improved dynamic photosynthesis in C3 crops by utilising natural genetic variation,7.0,5.6,2.75,10.1093/jxb/erac100,no,good
Klaus Apel (1942-2017): a pioneer of photosynthesis research,1.0,2.9,0.5,10.1007/s11120-018-0488-x,no,good
Quantitative proteomics reveals redox-based functional regulation of photosynthesis under fluctuating light in plants,8.0,9.3,4.85,10.1111/jipb.13348,no,good
Impact of the ion transportome of chloroplasts on the optimization of photosynthesis,49.0,5.6,9.45,10.1093/jxb/erx063,no,good
Paradigm of Monoterpene (β-phellandrene) Hydrocarbons Production via Photosynthesis in Cyanobacteria,61.0,3.1,9.0,10.1007/s12155-013-9325-4,no,good
Oxygenic Photosynthesis-specific Subunits of Cyanobacterial NADPH Dehydrogenases,30.0,3.7,0.5,10.1002/iub.1341,no,good
Woody tissue photosynthesis and its contribution to trunk growth and bud development in young plants,103.0,6,1.0,10.1111/j.1365-3040.2010.02197.x,no,good
"Stories and photographs of William A. Arnold (1904-2001), a pioneer of photosynthesis and a wonderful friend",4.0,2.9,5.08,10.1007/s11120-014-0013-9,no,good
Effects of salicylic acid on growth and photosynthesis in barley plants,150.0,4,3.0,10.1016/S0176-1617(96)80173-8,no,good
A New Ecological and Evolutionary Perspective on the Emergence of Oxygenic Photosynthesis,0.0,3.5,2.25,10.1089/ast.2021.0165,no,good
"A TRIBUTE TO KORTSCHAK,HUGO,P - THE MAN, THE SCIENTIST AND THE DISCOVERER OF C4-PHOTOSYNTHESIS",8.0,2.9,3.0,10.1007/BF00014751,no,good
Diffusional conductances to CO2 as a target for increasing photosynthesis and photosynthetic water-use efficiency,281.0,2.9,5.949999999999999,10.1007/s11120-013-9844-z,no,good
A System Dynamics Approach to Model Photosynthesis at Leaf Level Under Fluctuating Light,5.0,4.1,0.75,10.3389/fpls.2021.787877,no,good
Can we improve the chilling tolerance of maize photosynthesis through breeding?,10.0,5.6,30.15000000000001,10.1093/jxb/erac045,no,good
Strategies and tools to improve crop productivity by targeting photosynthesis,11.0,5.4,0.25,10.1098/rstb.2016.0377,no,good
Towards a dynamic photosynthesis model to guide yield improvement in C4 crops,32.0,6.2,42.25,10.1111/tpj.15365,no,good
"Rubisco activase is a key regulator of non-steady-state photosynthesis at any leaf temperature and, to a lesser extent, of steady-state photosynthesis at high temperature",204.0,6.2,9.75,10.1111/j.1365-313X.2012.05041.x,no,good
A Synthetic Photorespiratory Shortcut Enhances Photosynthesis to Boost Biomass and Grain Yield in Rice,49.0,17.1,2.85,10.1016/j.molp.2020.10.007,no,good
Changes in Photosynthesis Could Provide Important Insight into the Interaction between Wheat and Fungal Pathogens,50.0,4.9,0.25,10.3390/ijms22168865,no,good
"Acclimation of Biochemical and Diffusive Components of Photosynthesis in Rice, Wheat, and Maize to Heat and Water Deficit: Implications for Modeling Photosynthesis",48.0,4.1,2.0,10.3389/fpls.2016.01719,no,good
What limits photosynthesis? Identifying the thermodynamic constraints of the terrestrial biosphere within the Earth system,11.0,3.4,4.25,10.1016/j.bbabio.2020.148303,no,good
"Recovery responses of photosynthesis, transpiration, and stomatal conductance in kidney bean following drought stress",313.0,4.5,3.0,10.1016/j.envexpbot.2004.03.015,no,good
Protection of photosynthesis in desiccation-tolerant resurrection plants,56.0,4,0.25,10.1016/j.jplph.2018.05.002,no,good
Effects of high temperature on photosynthesis and related gene expression in poplar,186.0,4.3,6.5,10.1186/1471-2229-14-111,no,good
The physiological basis for estimating photosynthesis from Chla fluorescence,29.0,8.3,13.25,10.1111/nph.18045,no,good
The use and misuse of photosynthesis in the quest for novel methods to harness solar energy to make fuel,12.0,4.3,19.98,10.1098/rsta.2011.0603,no,good
Can dynamic visualizations improve middle school students' understanding of energy in photosynthesis?,76.0,3.6,3.0,10.1002/tea.21003,no,good
"The circadian night depression of photosynthesis analyzed in a herb, Pulmonaria vallarsae. Day/night quantitative relationships",3.0,2.9,0.25,10.1007/s11120-022-00956-1,no,good
"Role of membrane glycerolipids in photosynthesis, thylakoid biogenesis and chloroplast development",147.0,2.7,3.1,10.1007/s10265-016-0827-y,no,good
Photosynthesis of Acetate by Sporomusa ovata-CdS Biohybrid System,11.0,8.3,0.25,10.1021/acsami.2c01918,no,good
Light-limited photosynthesis under energy-saving film decreases eggplant yield,30.0,4,8.7,10.1002/fes3.245,no,good
Absolute quantification of cellular levels of photosynthesis-related proteins in Synechocystis sp. PCC 6803,9.0,2.9,3.6,10.1007/s11120-022-00990-z,no,good
Association genetics and transcriptome analysis reveal a gibberellin-responsive pathway involved in regulating photosynthesis,30.0,5.6,0.5,10.1093/jxb/erw151,no,good
Probing the interplay of biophysical constraints and photosynthesis to model tree growth,0.0,5.6,4.55,10.1016/j.agrformet.2023.109852,no,good
Improving Photosynthesis,299.0,6.5,7.0,10.1104/pp.113.219006,no,good
Halogen-containing semiconductors: From artificial photosynthesis to unconventional computing,22.0,20.3,3.0,10.1016/j.ccr.2020.213316,no,good
Elevated CO2 Enhances Dynamic Photosynthesis in Rice and Wheat,10.0,4.1,0.5,10.3389/fpls.2021.727374,no,good
Evaluating the predictive power of sun-induced chlorophyll fluorescence to estimate net photosynthesis of vegetation canopies: A SCOPE modeling study,117.0,11.1,1.0,10.1016/j.rse.2016.01.018,no,good
Temperature-dependent photosynthesis in the intertidal alga Fucus gardneri and sensitivity to ongoing climate change,33.0,1.8,3.0,10.1016/j.jembe.2014.05.001,no,good
Metabolic Capacity of the Antarctic Cyanobacterium Phormidium pseudopriestleyi That Sustains Oxygenic Photosynthesis in the Presence of Hydrogen Sulfide,8.0,2.8,9.45,10.3390/genes12030426,no,good
Estimating photosynthetic capacity from leaf reflectance and Chl fluorescence by coupling radiative transfer to a model for photosynthesis,27.0,8.3,8.6,10.1111/nph.15782,no,good
Promoting the Understanding of Photosynthesis Among Elementary School Student Teachers Through Text Design,13.0,2.1,0.5,10.1007/s10972-013-9373-9,no,good
Diffusive and metabolic limitations to photosynthesis under drought and salinity in C3 plants,1103.0,4.2,0.5,10.1055/s-2004-820867,no,good
Enhancing photosynthesis and yield in rice with improved N use efficiency,7.0,4.2,9.25,10.1016/j.plantsci.2022.111475,no,good
Does the 14C method estimate net photosynthesis? Implications from batch and continuous culture studies of marine phytoplankton,34.0,2.3,1.5,10.1016/j.dsr.2013.07.011,no,good
Low sink demand limits photosynthesis under Pi deficiency,161.0,5.6,3.0,10.1093/jexbot/52.358.1083,no,good
What Matters for C4 Transporters: Evolutionary Changes of Phosphoenolpyruvate Transporter for C4 Photosynthesis,4.0,4.1,3.45,10.3389/fpls.2020.00935,no,good
C4 photosynthesis:: principles of CO2 concentration and prospects for its introduction into C3 plants,190.0,5.6,3.0,10.1093/jexbot/53.369.581,no,good
The circadian regulation of photosynthesis,87.0,2.9,1.75,10.1007/s11120-013-9811-8,no,good
The biological basis for using optical signals to track evergreen needleleaf photosynthesis,1.0,7.6,13.6,10.1093/biosci/biad116,no,good
Short-term effects of gamma ray bursts on oceanic photosynthesis,26.0,1.8,16.0,10.1007/s10509-010-0450-7,no,good
Enhancing crop yields through improvements in the efficiency of photosynthesis and respiration,20.0,8.3,20.45,10.1111/nph.18545,no,good
Photobiological hydrogen production and artificial photosynthesis for clean energy: from bio to nanotechnologies,27.0,2.9,1.0,10.1007/s11120-015-0139-4,no,good
Rhizobacteria improve sugarcane growth and photosynthesis under well-watered conditions,12.0,2.2,0.5,10.1111/aab.12421,no,good
A shadow detector for photosynthesis efficiency,17.0,1.9,3.0,10.1016/j.jtbi.2016.11.027,no,good
Diffuse solar radiation and canopy photosynthesis in a changing environment,65.0,5.6,3.75,10.1016/j.agrformet.2021.108684,no,good
"Effects of high CO2 levels on dynamic photosynthesis: carbon gain, mechanisms, and environmental interactions",33.0,2.7,0.5,10.1007/s10265-016-0817-0,no,good
Govindjee's 90th birthday: a life dedicated to photosynthesis,2.0,1.5,1.0,10.1007/s40502-022-00690-9,no,good
Large and projected strengthening moisture limitation on end-of-season photosynthesis,75.0,9.4,91.14,10.1073/pnas.1914436117,no,good
Photosynthesis in a Changing Global Climate: Scaling Up and Scaling Down in Crops,53.0,4.1,15.25,10.3389/fpls.2020.00882,no,good
Photosynthesis and crop productivity are enhanced by glucose-functionalised carbon dots,30.0,8.3,10.8,10.1111/nph.16886,no,good
C4 photosynthesis evolved in warm climates but promoted migration to cooler ones,28.0,7.6,57.34,10.1111/ele.12905,no,good
Glyphosate-Dependent Inhibition of Photosynthesis in Willow,92.0,4.1,2.25,10.3389/fpls.2017.00207,no,good
Redox-active ligands in artificial photosynthesis: a review,6.0,15,0.25,10.1007/s10311-022-01448-3,no,good
Tapping the Unused Potential of Photosynthesis with a Heterologous Electron Sink,36.0,3.7,106.18,10.1021/acssynbio.6b00100,no,good
Chlorophyll Fluorescence Video Imaging: A Versatile Tool for Identifying Factors Related to Photosynthesis,15.0,4.1,3.45,10.3389/fpls.2018.00055,no,good
Artificial photosynthesis for solar fuels,155.0,3.3,3.0,10.1039/c1fd00113b,no,good
The paleobiological record of photosynthesis,80.0,2.9,20.104,10.1007/s11120-010-9577-1,no,good
Effect of CAX1a TILLING mutations on photosynthesis performance in salt-stressed Brassica rapa plants,8.0,4.2,0.75,10.1016/j.plantsci.2021.111013,no,good
In situ measurements of winter wheat diurnal changes in photosynthesis and environmental factors reveal new insight into photosynthesis improvement by super-high-yield cultivation,4.0,4.6,0.5,10.1016/S2095-3119(20)63554-7,no,good
"Soybean (Glycine max L. Merr.) seedlings response to shading: leaf structure, photosynthesis and proteomic analysis",77.0,4.3,1.25,10.1186/s12870-019-1633-1,no,good
Is Nitrogen a Key Determinant of Water Transport and Photosynthesis in Higher Plants Upon Drought Stress?,79.0,4.1,8.45,10.3389/fpls.2018.01143,no,good
